participant,bls_p_women,synthetic_p_women,search_term,perceived_education_level_1,perceived_p_women_1,perceived_growth_1,perceived_prestige_1,perceived_education_level_2,perceived_p_women_2,perceived_growth_2,perceived_prestige_2
c19,0.132,0.5,engineer,Four year college degree,0.3,Growing,Somewhat prestigious,Four year college degree,0.08,Staying about the same,Somewhat prestigious
c18,0.503,0.375,telemarketer,High school diploma or equivalent,0.8,Growing,Very unprestigious,High school diploma or equivalent,0.75,Growing,Very unprestigious
c11,0.501,0.5,biologist,Professional degree,0.2,Staying about the same,Very prestigious,Professional degree,0.48,Growing,Very unprestigious
c42,0.862,0.75,special ed teacher,Four year college degree,0.9,Growing,Neither prestigious or not,Four year college degree,0.85,Growing,Neither prestigious or not
c30,0.166,0.5,drafter,Four year college degree,0.2,Staying about the same,Neither prestigious or not,Four year college degree,0.3,Staying about the same,Somewhat prestigious
c7,0.599,0.625,bartender,High school diploma or equivalent,0.77,Staying about the same,Neither prestigious or not,Some high school,0.65,Staying about the same,Neither prestigious or not
c12,0.013,0.5,plumber,High school diploma or equivalent,0.05,Staying about the same,Neither prestigious or not,High school diploma or equivalent,0.05,Staying about the same,Neither prestigious or not
c17,0.215,0.25,chef,Two year college or vocational degree,0.4,Growing,Somewhat prestigious,Two year college or vocational degree,0.35,Growing,Somewhat prestigious
c30,0.501,0.5,biologist,Four year college degree,0.45,Staying about the same,Very prestigious,Four year college degree,0.45,Staying about the same,Very prestigious
c7,0.013,0.5,plumber,Two year college or vocational degree,0.07,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.05,Growing,Somewhat unprestigious
c18,0.556,0.75,author,High school diploma or equivalent,0.55,Growing,Very prestigious,Two year college or vocational degree,0.55,Growing,Very prestigious
c17,0.442,0.5,chemist,Professional degree,0.5,Growing,Very prestigious,Professional degree,0.45,Growing,Very prestigious
c30,0.442,0.5,chemist,Four year college degree,0.4,Growing,Very prestigious,Four year college degree,0.4,Staying about the same,Somewhat prestigious
c12,0.343,0.625,doctor,Doctorate,0.25,Growing,Very prestigious,Doctorate,0.35,Growing,Very prestigious
c18,0.225,0.75,computer programmer,Two year college or vocational degree,0.35,Growing,Somewhat prestigious,Two year college or vocational degree,0.35,Growing,Very prestigious
c14,0.126,1,police officer,Four year college degree,0.75,Growing,Very unprestigious,Two year college or vocational degree,0.4,Growing,Somewhat prestigious
c16,0.343,0,doctor,Professional degree,0.35,Staying about the same,Very prestigious,Professional degree,0.35,Staying about the same,Very prestigious
c19,0.503,0.5,telemarketer,High school diploma or equivalent,0.4,Shrinking,Neither prestigious or not,High school diploma or equivalent,0.47,Shrinking,Somewhat unprestigious
c18,0.862,0.25,special ed teacher,Four year college degree,0.8,Staying about the same,Somewhat prestigious,Four year college degree,0.9,Growing,Somewhat prestigious
