participant,participant_gender,search_term,image_url,image_selected,image_gender,image_position,bls_p_women,bls_p_image_gender,search_p_women,synthetic_p_women,quality_rating
b18,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.125,poor
b21,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/1.jpg,FALSE,man,1,0.029,0.971,0.125,0,poor
b7,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.875,fair
b38,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,FALSE,woman,1,0.862,0.862,0.779069767,1,fair
b19,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/6.jpg,TRUE,man,1,0.814,0.186,0.717948718,0,good
b25,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,FALSE,man,1,0.537,0.463,0.576923077,0,very good
b32,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,TRUE,woman,1,0.861,0.861,0.846153846,0.125,very good
b4,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/1.jpg,FALSE,woman,1,0.441,0.441,0.476190476,0.5,very good
b12,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,FALSE,man,1,0.537,0.463,0.576923077,0.375,good
b3,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/2.jpg,TRUE,man,1,0.862,0.138,0.779069767,0,very poor
b30,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,FALSE,woman,1,0.343,0.343,0.301204819,0.25,very good
b24,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,TRUE,man,1,0.132,0.868,0.154929577,0.5,good
b7,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/1.jpg,FALSE,woman,1,0.441,0.441,0.476190476,0.5,fair
b19,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,TRUE,man,1,0.132,0.868,0.154929577,0,good
b36,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,TRUE,woman,1,0.862,0.862,0.779069767,0.875,fair
b25,male,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/0.jpg,FALSE,man,1,0.013,0.987,0.047058824,0.5,very good
b4,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,FALSE,woman,1,0.728,0.728,0.651162791,0.375,good
b8,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,TRUE,man,1,0.377,0.623,0.287671233,0.625,very good
b37,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,FALSE,woman,1,0.814,0.814,0.717948718,1,good
b21,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0.25,poor
b5,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,FALSE,woman,1,0.862,0.862,0.779069767,0.875,fair
b7,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/0.jpg,FALSE,man,1,0.23,0.77,0.079365079,0.5,poor
b12,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,FALSE,man,1,0.501,0.499,0.353846154,0.625,fair
b23,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,FALSE,woman,1,0.728,0.728,0.651162791,0.375,very good
b25,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,FALSE,woman,1,0.678,0.678,0.6875,0.25,very good
b22,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,TRUE,woman,1,0.862,0.862,0.779069767,1,very poor
b4,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,FALSE,man,1,0.197,0.803,0.148148148,0,good
b30,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/0.jpg,TRUE,man,1,0.556,0.444,0.246153846,0,poor
b20,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,FALSE,man,1,0.377,0.623,0.287671233,0.625,very good
b6,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,TRUE,woman,1,0.814,0.814,0.717948718,0.125,fair
b7,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,FALSE,man,1,0.197,0.803,0.148148148,0.5,fair
b12,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/0.jpg,TRUE,man,1,0.041,0.959,0.103896104,0.875,very good
b25,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,TRUE,woman,1,0.941,0.941,0.873239437,0.875,very good
b4,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,0.5,very good
b5,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/3.jpg,TRUE,woman,1,0.596,0.596,0.685714286,0.375,very good
b36,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/30.jpg,FALSE,woman,1,0.377,0.377,0.141025641,1,fair
b22,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.25,good
b3,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.75,good
b21,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,FALSE,man,1,0.132,0.868,0.154929577,0,poor
b23,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/3.jpg,FALSE,woman,1,0.215,0.215,0.241758242,1,good
b32,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/6.jpg,FALSE,woman,1,0.537,0.537,0.576923077,1,very good
b12,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,FALSE,woman,1,0.862,0.862,0.779069767,0.5,good
b25,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,1,very good
b8,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,FALSE,woman,1,0.861,0.861,0.846153846,0.5,very good
b17,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.125,fair
b30,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.75,good
b7,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,TRUE,woman,1,0.442,0.442,0.532467532,0.5,very good
b38,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.625,very poor
b36,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,FALSE,man,1,0.274,0.726,0.112244898,0.125,good
b22,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,FALSE,woman,1,0.814,0.814,0.717948718,0.875,good
b15,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/0.jpg,TRUE,man,1,0.126,0.874,0.138888889,0.125,very good
b8,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/0.jpg,TRUE,man,1,0.126,0.874,0.138888889,0.875,very good
b3,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,FALSE,woman,1,0.941,0.941,0.873239437,1,good
b17,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/0.jpg,FALSE,man,1,0.078,0.922,0.06779661,0.5,good
b30,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,1,good
b20,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,TRUE,man,1,0.132,0.868,0.154929577,0.5,good
b21,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,0.5,fair
b36,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,FALSE,woman,1,0.953,0.953,0.923076923,0.5,fair
b23,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,FALSE,woman,1,0.678,0.678,0.6875,0.625,very good
b26,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.375,good
b5,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,FALSE,woman,1,0.953,0.953,0.923076923,0.5,fair
b4,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/46.jpg,TRUE,woman,1,0.041,0.041,0.103896104,1,very good
b25,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,FALSE,woman,1,0.343,0.343,0.301204819,0.625,very good
b22,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.125,very poor
b8,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/18.jpg,FALSE,woman,1,0.455,0.455,0.1875,1,very good
b3,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,FALSE,woman,1,0.343,0.343,0.301204819,0.625,very good
b30,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,FALSE,man,1,0.215,0.785,0.241758242,0.75,very good
b7,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,FALSE,man,1,0.274,0.726,0.112244898,0.25,fair
b38,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0.5,poor
b35,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,TRUE,woman,1,0.941,0.941,0.873239437,0.125,fair
b23,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,TRUE,man,1,0.599,0.401,0.234042553,0.375,good
b36,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,FALSE,man,1,0.501,0.499,0.353846154,0.5,fair
b5,female,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/0.jpg,TRUE,man,1,0.013,0.987,0.047058824,0.5,good
b8,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.25,poor
b3,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/1.jpg,FALSE,woman,1,0.555,0.555,0.35,0.5,fair
b30,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.875,fair
b18,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.5,fair
b21,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,FALSE,man,1,0.215,0.785,0.241758242,0.5,good
b7,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/3.jpg,FALSE,woman,1,0.596,0.596,0.685714286,0.375,fair
b36,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/1.jpg,TRUE,man,1,0.029,0.971,0.125,0,good
b27,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/1.jpg,FALSE,man,1,0.029,0.971,0.125,0.125,very good
b5,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/1.jpg,FALSE,man,1,0.029,0.971,0.125,0,very good
b12,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.5,good
b22,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.5,very poor
b8,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,TRUE,woman,1,0.728,0.728,0.651162791,0.5,very good
b30,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/4.jpg,FALSE,man,1,0.555,0.445,0.35,0,fair
b21,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,0.5,good
b38,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,FALSE,man,1,0.537,0.463,0.576923077,0.5,very good
b19,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,FALSE,man,1,0.377,0.623,0.287671233,0.75,very good
b5,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.875,fair
b36,female,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/1.jpg,FALSE,woman,1,0.441,0.441,0.476190476,0.5,fair
b25,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0.75,very good
b12,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,TRUE,man,1,0.599,0.401,0.234042553,0.75,good
b4,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/0.jpg,FALSE,man,1,0.297,0.703,0.15625,0.5,good
b22,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,FALSE,man,1,0.537,0.463,0.576923077,0.625,very good
b15,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0,very good
b3,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,FALSE,man,1,0.377,0.623,0.287671233,0.5,very good
b18,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,FALSE,woman,1,0.678,0.678,0.6875,0.25,good
b21,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/4.jpg,FALSE,man,1,0.555,0.445,0.35,0,poor
b29,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,FALSE,woman,1,0.861,0.861,0.846153846,1,good
b12,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,TRUE,man,1,0.377,0.623,0.287671233,0.5,good
b25,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,FALSE,man,1,0.377,0.623,0.287671233,0.5,very good
b23,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.75,fair
b10,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0.5,good
b15,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.75,good
b8,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/1.jpg,FALSE,woman,1,0.555,0.555,0.35,0.375,very poor
b3,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/1.jpg,FALSE,man,1,0.185,0.815,0.052631579,0.5,good
b30,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/0.jpg,TRUE,man,1,0.041,0.959,0.103896104,0.875,fair
b18,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,FALSE,woman,1,0.862,0.862,0.779069767,0.25,very poor
b7,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,FALSE,woman,1,0.941,0.941,0.873239437,1,very good
b38,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,FALSE,man,1,0.132,0.868,0.154929577,0.5,very poor
b25,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,TRUE,man,1,0.132,0.868,0.154929577,0.5,good
b4,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/4.jpg,FALSE,woman,1,0.126,0.126,0.138888889,1,good
b12,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/1.jpg,FALSE,woman,1,0.555,0.555,0.35,1,good
b22,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/1.jpg,TRUE,man,1,0.442,0.558,0.532467532,0,fair
b10,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.625,poor
b15,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,TRUE,woman,1,0.728,0.728,0.651162791,0.625,very good
b8,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/1.jpg,FALSE,man,1,0.029,0.971,0.125,0,very good
b3,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/0.jpg,TRUE,man,1,0.041,0.959,0.103896104,0.5,fair
b31,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/1.jpg,TRUE,man,1,0.442,0.558,0.532467532,0,good
b2,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0.75,fair
b25,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/3.jpg,FALSE,woman,1,0.501,0.501,0.353846154,1,very good
b32,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,0.5,good
b22,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,FALSE,woman,1,0.343,0.343,0.301204819,0.375,fair
b28,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.5,fair
b4,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0,very good
b5,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.5,very good
b3,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/1.jpg,FALSE,man,1,0.029,0.971,0.125,0.125,very good
b6,male,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/1.jpg,FALSE,man,1,0.185,0.815,0.052631579,0.5,good
b21,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,FALSE,woman,1,0.861,0.861,0.846153846,0.875,fair
b35,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,TRUE,woman,1,0.728,0.728,0.651162791,1,very good
b36,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,FALSE,man,1,0.215,0.785,0.241758242,0.25,good
b5,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.25,poor
b10,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/3.jpg,FALSE,woman,1,0.501,0.501,0.353846154,1,fair
b15,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,FALSE,woman,1,0.678,0.678,0.6875,0.375,very good
b8,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,TRUE,woman,1,0.814,0.814,0.717948718,0.5,very good
b30,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/0.jpg,FALSE,man,1,0.126,0.874,0.138888889,0.875,very good
b21,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.5,good
b27,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.875,fair
b25,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/0.jpg,TRUE,man,1,0.126,0.874,0.138888889,0.125,very good
b4,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.125,good
b28,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,TRUE,man,1,0.197,0.803,0.148148148,0.875,good
b5,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0.875,fair
b3,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,FALSE,woman,1,0.953,0.953,0.923076923,0.5,fair
b38,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,FALSE,woman,1,0.678,0.678,0.6875,0.75,fair
b19,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0,very good
b34,female,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/0.jpg,TRUE,man,1,0.013,0.987,0.047058824,0.5,good
b5,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,TRUE,woman,1,0.861,0.861,0.846153846,0.875,poor
b25,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/0.jpg,FALSE,man,1,0.297,0.703,0.15625,0.75,fair
b26,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/1.jpg,FALSE,woman,1,0.599,0.599,0.234042553,1,poor
b4,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/1.jpg,FALSE,woman,1,0.599,0.599,0.234042553,1,very good
b12,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/18.jpg,FALSE,woman,1,0.455,0.455,0.1875,1,good
b8,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,TRUE,woman,1,0.862,0.862,0.779069767,0.25,poor
