turker,turker_gender,search_term,image_url,image_gender,bls_p_women,bls_p_image_gender,search_p_women,attractive,provocative,sexy,professional,competent,inappropriate,trustworthy,weird
a159,male,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/6.jpg,man,0.054,0.946,0.069444444,strongly disagree,strongly disagree,strongly disagree,disagree,neutral,disagree,neutral,agree
a83,male,roofer,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/7.jpg,man,0.015,0.985,0,agree,agree,agree,disagree,agree,disagree,neutral,disagree
a49,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/5.jpg,man,0.297,0.703,0.15625,disagree,neutral,disagree,agree,agree,disagree,neutral,neutral
a76,female,electrician,http://homes.cs.washington.edu/~mjskay/aws-images/google/electrician/0.jpg,man,0.018,0.982,0.04,neutral,strongly agree,neutral,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a71,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/6.jpg,woman,0.197,0.197,0.148148148,neutral,disagree,neutral,neutral,agree,strongly disagree,disagree,strongly disagree
a19,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/3.jpg,man,0.599,0.401,0.234042553,agree,neutral,neutral,neutral,agree,disagree,disagree,strongly disagree
a159,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/9.jpg,man,0.04,0.96,0.068181818,neutral,disagree,disagree,neutral,agree,neutral,neutral,agree
a179,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/2.jpg,man,0.537,0.463,0.576923077,disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a83,male,electrician,http://homes.cs.washington.edu/~mjskay/aws-images/google/electrician/40.jpg,woman,0.018,0.018,0.04,agree,agree,agree,disagree,disagree,agree,disagree,neutral
a184,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/68.jpg,woman,0.297,0.297,0.15625,agree,strongly agree,agree,strongly disagree,disagree,strongly agree,disagree,strongly agree
a179,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/41.jpg,woman,0.599,0.599,0.234042553,agree,neutral,agree,agree,agree,strongly disagree,neutral,strongly disagree
a47,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/20.jpg,man,0.728,0.272,0.651162791,disagree,disagree,disagree,agree,agree,strongly disagree,agree,disagree
a78,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/2.jpg,man,0.23,0.77,0.079365079,disagree,neutral,disagree,disagree,NA,neutral,disagree,neutral
a179,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/93.jpg,woman,0.23,0.23,0.079365079,agree,strongly agree,agree,strongly disagree,agree,agree,disagree,agree
a102,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/2.jpg,man,0.377,0.623,0.287671233,disagree,disagree,disagree,disagree,neutral,disagree,neutral,strongly disagree
a49,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/42.jpg,woman,0.377,0.377,0.141025641,neutral,agree,disagree,agree,agree,disagree,neutral,neutral
a179,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/28.jpg,man,0.861,0.139,0.846153846,agree,strongly disagree,neutral,strongly agree,agree,strongly disagree,agree,strongly disagree
a105,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/14.jpg,woman,0.441,0.441,0.476190476,agree,disagree,agree,agree,neutral,strongly disagree,neutral,strongly disagree
a131,male,electrician,http://homes.cs.washington.edu/~mjskay/aws-images/google/electrician/40.jpg,woman,0.018,0.018,0.04,agree,agree,agree,disagree,disagree,agree,neutral,neutral
a185,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,man,0.537,0.463,0.576923077,agree,agree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a179,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/28.jpg,woman,0.23,0.23,0.079365079,agree,agree,agree,disagree,agree,disagree,strongly disagree,strongly disagree
a131,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/2.jpg,man,0.297,0.703,0.15625,agree,disagree,disagree,agree,agree,disagree,agree,disagree
a117,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/7.jpg,woman,0.441,0.441,0.476190476,agree,neutral,agree,strongly agree,agree,disagree,agree,strongly disagree
a178,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/72.jpg,woman,0.041,0.041,0.103896104,agree,neutral,agree,strongly agree,strongly agree,disagree,strongly agree,NA
a51,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/7.jpg,man,0.728,0.272,0.651162791,neutral,strongly disagree,neutral,strongly agree,strongly agree,strongly disagree,neutral,disagree
a102,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/34.jpg,man,0.941,0.059,0.873239437,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a49,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/5.jpg,man,0.132,0.868,0.154929577,disagree,neutral,disagree,agree,agree,disagree,neutral,disagree
a48,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/5.jpg,man,0.503,0.497,0.644444444,disagree,strongly agree,strongly disagree,disagree,disagree,agree,strongly disagree,agree
a146,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/58.jpg,woman,0.197,0.197,0.148148148,agree,strongly disagree,neutral,agree,agree,disagree,agree,disagree
a179,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/10.jpg,man,0.678,0.322,0.6875,disagree,strongly disagree,strongly disagree,strongly agree,neutral,strongly disagree,neutral,neutral
a180,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/3.jpg,man,0.132,0.868,0.154929577,neutral,disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a179,male,receptionist,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/4.jpg,woman,0.915,0.915,0.962962963,neutral,neutral,neutral,agree,agree,neutral,neutral,neutral
a83,male,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/4.jpg,man,0.013,0.987,0.047058824,disagree,disagree,disagree,agree,agree,disagree,agree,disagree
a131,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/66.jpg,man,0.953,0.047,0.923076923,neutral,neutral,disagree,agree,agree,strongly disagree,agree,disagree
a5,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/4.jpg,man,0.132,0.868,0.154929577,neutral,strongly disagree,strongly disagree,agree,agree,strongly disagree,strongly agree,strongly disagree
a179,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/2.jpg,man,0.862,0.138,0.779069767,disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,strongly agree,strongly disagree
a47,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/21.jpg,man,0.596,0.404,0.685714286,disagree,disagree,disagree,neutral,neutral,disagree,neutral,neutral
a178,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/95.jpg,woman,0.185,0.185,0.052631579,disagree,disagree,disagree,agree,agree,disagree,strongly agree,disagree
a102,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/19.jpg,woman,0.728,0.728,0.651162791,agree,agree,agree,agree,NA,strongly disagree,agree,strongly disagree
a5,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/4.jpg,woman,0.861,0.861,0.846153846,agree,strongly disagree,agree,agree,agree,strongly disagree,agree,strongly disagree
a178,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/31.jpg,man,0.678,0.322,0.6875,neutral,disagree,disagree,strongly agree,agree,disagree,agree,neutral
a117,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/9.jpg,woman,0.953,0.953,0.923076923,agree,disagree,agree,agree,NA,disagree,neutral,disagree
a49,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/6.jpg,woman,0.132,0.132,0.154929577,disagree,agree,disagree,agree,strongly agree,strongly disagree,neutral,disagree
a117,male,welder,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/27.jpg,man,0.048,0.952,0.076923077,disagree,disagree,strongly disagree,agree,agree,strongly disagree,neutral,strongly disagree
a179,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/8.jpg,man,0.029,0.971,0.125,strongly disagree,strongly disagree,strongly disagree,neutral,agree,disagree,agree,agree
a184,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,woman,0.343,0.343,0.301204819,agree,disagree,neutral,agree,agree,disagree,neutral,strongly disagree
a117,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/28.jpg,woman,0.23,0.23,0.079365079,agree,agree,agree,neutral,disagree,agree,disagree,neutral
a71,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/9.jpg,man,0.503,0.497,0.644444444,disagree,strongly disagree,strongly disagree,disagree,agree,strongly disagree,agree,strongly disagree
a131,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/1.jpg,man,0.236,0.764,0.209302326,disagree,disagree,strongly disagree,disagree,disagree,disagree,disagree,agree
a179,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/6.jpg,man,0.297,0.703,0.15625,disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,neutral
a49,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/54.jpg,woman,0.197,0.197,0.148148148,neutral,disagree,neutral,neutral,neutral,disagree,neutral,disagree
a180,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/35.jpg,man,0.814,0.186,0.717948718,agree,disagree,neutral,agree,agree,strongly disagree,strongly agree,strongly disagree
a117,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/1.jpg,man,0.442,0.558,0.532467532,neutral,disagree,strongly disagree,NA,agree,NA,neutral,strongly disagree
a161,female,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/4.jpg,man,0.066,0.934,0.057142857,disagree,strongly disagree,strongly disagree,neutral,agree,strongly disagree,agree,agree
a179,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/1.jpg,man,0.503,0.497,0.644444444,agree,strongly disagree,neutral,strongly agree,agree,strongly disagree,agree,strongly disagree
a51,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/36.jpg,woman,0.297,0.297,0.15625,strongly disagree,neutral,strongly disagree,disagree,neutral,strongly disagree,neutral,agree
a81,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/59.jpg,woman,0.377,0.377,0.141025641,disagree,disagree,strongly disagree,neutral,neutral,disagree,neutral,neutral
a83,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/7.jpg,man,0.503,0.497,0.644444444,disagree,disagree,disagree,agree,agree,disagree,neutral,disagree
a23,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/4.jpg,man,0.236,0.764,0.209302326,neutral,strongly disagree,neutral,agree,neutral,strongly disagree,neutral,strongly disagree
a117,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/88.jpg,woman,0.455,0.455,0.1875,disagree,strongly disagree,disagree,agree,agree,strongly disagree,NA,strongly disagree
a131,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/8.jpg,woman,0.861,0.861,0.846153846,neutral,disagree,disagree,agree,agree,disagree,agree,disagree
a179,male,roofer,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/4.jpg,man,0.015,0.985,0,disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a159,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/17.jpg,woman,0.04,0.04,0.068181818,agree,agree,agree,strongly disagree,strongly disagree,agree,disagree,disagree
a52,male,roofer,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/6.jpg,man,0.015,0.985,0,strongly disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,strongly disagree,neutral
a102,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/7.jpg,woman,0.236,0.236,0.209302326,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,agree,strongly disagree,agree
a131,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/0.jpg,man,0.126,0.874,0.138888889,disagree,disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a126,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/3.jpg,woman,0.503,0.503,0.644444444,agree,disagree,agree,agree,neutral,neutral,neutral,neutral
a178,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/1.jpg,man,0.503,0.497,0.644444444,agree,disagree,disagree,agree,agree,disagree,neutral,disagree
a76,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/6.jpg,man,0.225,0.775,0.166666667,disagree,strongly agree,disagree,strongly agree,strongly agree,strongly disagree,strongly agree,agree
a81,female,librarian,http://homes.cs.washington.edu/~mjskay/aws-images/google/librarian/5.jpg,woman,0.868,0.868,0.953846154,disagree,strongly disagree,strongly disagree,neutral,neutral,disagree,neutral,neutral
a71,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/26.jpg,man,0.455,0.545,0.1875,disagree,disagree,strongly disagree,neutral,agree,disagree,agree,disagree
a179,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/3.jpg,woman,0.442,0.442,0.532467532,disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a81,female,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/85.jpg,woman,0.166,0.166,0.181818182,disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,neutral,agree
a179,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/18.jpg,woman,0.274,0.274,0.112244898,neutral,neutral,neutral,agree,agree,disagree,neutral,strongly disagree
a14,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/55.jpg,woman,0.297,0.297,0.15625,neutral,disagree,disagree,neutral,neutral,strongly disagree,agree,strongly disagree
a154,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/0.jpg,man,0.556,0.444,0.246153846,disagree,disagree,NA,agree,agree,disagree,agree,neutral
a24,male,welder,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/2.jpg,man,0.048,0.952,0.076923077,neutral,disagree,disagree,agree,strongly agree,disagree,neutral,disagree
a179,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/0.jpg,man,0.126,0.874,0.138888889,neutral,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,strongly agree,strongly disagree
a126,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/35.jpg,woman,0.132,0.132,0.154929577,neutral,strongly disagree,strongly disagree,strongly agree,agree,disagree,agree,disagree
a51,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/30.jpg,woman,0.029,0.029,0.125,agree,NA,agree,neutral,agree,strongly disagree,neutral,strongly disagree
a114,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/20.jpg,man,0.814,0.186,0.717948718,agree,agree,disagree,agree,neutral,disagree,neutral,neutral
a179,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/24.jpg,woman,0.343,0.343,0.301204819,neutral,strongly disagree,disagree,strongly agree,agree,strongly disagree,agree,disagree
a185,male,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/58.jpg,man,0.881,0.119,0.926829268,neutral,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,disagree
a58,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/9.jpg,man,0.503,0.497,0.644444444,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,agree,neutral,strongly agree
a19,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/14.jpg,woman,0.377,0.377,0.287671233,disagree,disagree,disagree,neutral,neutral,disagree,disagree,neutral
a179,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/40.jpg,man,0.678,0.322,0.6875,neutral,strongly disagree,disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a47,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/2.jpg,man,0.297,0.703,0.15625,neutral,strongly disagree,disagree,agree,agree,strongly disagree,agree,strongly disagree
a131,male,roofer,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/1.jpg,man,0.015,0.985,0,disagree,disagree,disagree,agree,agree,disagree,agree,disagree
a179,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/5.jpg,man,0.126,0.874,0.138888889,disagree,strongly disagree,disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a78,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,man,0.132,0.868,0.154929577,disagree,disagree,neutral,agree,strongly agree,strongly disagree,agree,strongly disagree
a126,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/35.jpg,woman,0.297,0.297,0.15625,neutral,strongly agree,neutral,strongly disagree,neutral,agree,neutral,agree
a179,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/7.jpg,woman,0.814,0.814,0.717948718,disagree,strongly disagree,disagree,strongly agree,agree,strongly disagree,strongly agree,strongly disagree
a159,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/5.jpg,woman,0.953,0.953,0.923076923,agree,disagree,neutral,agree,agree,disagree,neutral,disagree
a154,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/3.jpg,woman,0.501,0.501,0.353846154,agree,neutral,neutral,strongly agree,agree,disagree,agree,disagree
a5,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/3.jpg,man,0.236,0.764,0.209302326,agree,strongly disagree,disagree,agree,agree,strongly disagree,agree,disagree
a179,male,librarian,http://homes.cs.washington.edu/~mjskay/aws-images/google/librarian/3.jpg,woman,0.868,0.868,0.953846154,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree,strongly disagree,agree,strongly disagree
a71,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/5.jpg,man,0.029,0.971,0.125,neutral,strongly disagree,strongly disagree,neutral,neutral,disagree,disagree,disagree
a179,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/33.jpg,woman,0.556,0.556,0.246153846,NA,agree,strongly disagree,neutral,neutral,neutral,disagree,agree
a47,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/16.jpg,woman,0.537,0.537,0.576923077,neutral,disagree,disagree,neutral,neutral,disagree,neutral,disagree
a71,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,man,0.501,0.499,0.353846154,disagree,agree,disagree,agree,agree,strongly disagree,agree,disagree
a179,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/32.jpg,woman,0.555,0.555,0.35,neutral,disagree,neutral,neutral,agree,strongly disagree,agree,strongly disagree
a102,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/4.jpg,man,0.23,0.77,0.079365079,disagree,disagree,strongly disagree,agree,agree,strongly disagree,neutral,strongly disagree
a83,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/32.jpg,woman,0.297,0.297,0.15625,agree,disagree,neutral,disagree,neutral,disagree,neutral,disagree
a102,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/1.jpg,man,0.377,0.623,0.287671233,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,agree,strongly disagree,agree
a79,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/19.jpg,woman,0.537,0.537,0.576923077,strongly agree,disagree,agree,agree,strongly agree,disagree,agree,disagree
a47,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,man,0.197,0.803,0.148148148,agree,disagree,disagree,agree,agree,strongly disagree,agree,strongly disagree
a179,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/5.jpg,man,0.04,0.96,0.068181818,neutral,strongly disagree,strongly disagree,agree,strongly agree,agree,agree,neutral
a51,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/20.jpg,woman,0.343,0.343,0.301204819,agree,strongly disagree,agree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a159,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/7.jpg,man,0.728,0.272,0.651162791,disagree,strongly disagree,strongly disagree,agree,agree,disagree,neutral,disagree
a179,male,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/6.jpg,man,0.185,0.815,0.052631579,agree,strongly disagree,agree,agree,agree,strongly disagree,strongly agree,strongly disagree
a131,male,nurse,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/6.jpg,man,0.906,0.094,0.966292135,agree,disagree,disagree,agree,agree,disagree,agree,disagree
a52,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,woman,0.953,0.953,0.923076923,strongly agree,neutral,neutral,agree,agree,disagree,agree,disagree
a102,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/17.jpg,man,0.442,0.558,0.532467532,disagree,disagree,disagree,agree,agree,strongly disagree,neutral,strongly disagree
a79,female,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/48.jpg,woman,0.166,0.166,0.181818182,neutral,disagree,neutral,agree,agree,disagree,agree,disagree
a114,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,man,0.132,0.868,0.154929577,neutral,disagree,disagree,strongly agree,agree,disagree,neutral,neutral
a122,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/13.jpg,man,0.441,0.559,0.476190476,neutral,strongly disagree,strongly disagree,agree,agree,neutral,neutral,strongly disagree
a179,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/6.jpg,man,0.377,0.623,0.141025641,disagree,disagree,strongly disagree,neutral,neutral,strongly disagree,neutral,disagree
a178,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/12.jpg,woman,0.377,0.377,0.287671233,disagree,disagree,disagree,neutral,neutral,disagree,neutral,strongly agree
a23,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/5.jpg,man,0.23,0.77,0.079365079,strongly disagree,neutral,strongly disagree,strongly disagree,strongly disagree,neutral,strongly disagree,strongly agree
a102,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/17.jpg,woman,0.728,0.728,0.651162791,neutral,neutral,neutral,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a79,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/30.jpg,man,0.881,0.119,0.926829268,strongly agree,disagree,agree,neutral,agree,disagree,neutral,strongly disagree
a180,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/3.jpg,woman,0.377,0.377,0.287671233,agree,strongly disagree,disagree,strongly disagree,neutral,strongly disagree,agree,disagree
a14,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/37.jpg,woman,0.556,0.556,0.246153846,agree,neutral,agree,agree,agree,strongly disagree,strongly agree,strongly disagree
a126,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/17.jpg,man,0.814,0.186,0.717948718,neutral,neutral,neutral,agree,agree,disagree,neutral,neutral
a1,female,nurse,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/5.jpg,woman,0.906,0.906,0.966292135,agree,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a179,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/2.jpg,woman,0.555,0.555,0.35,agree,strongly disagree,neutral,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a25,female,welder,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/23.jpg,man,0.048,0.952,0.076923077,neutral,strongly disagree,neutral,agree,strongly agree,strongly disagree,agree,strongly disagree
a122,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/88.jpg,woman,0.455,0.455,0.1875,neutral,strongly disagree,disagree,agree,agree,strongly disagree,agree,strongly disagree
a51,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/25.jpg,woman,0.501,0.501,0.353846154,disagree,agree,disagree,strongly agree,agree,strongly disagree,agree,NA
a146,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/15.jpg,woman,0.728,0.728,0.651162791,agree,strongly disagree,disagree,agree,agree,NA,agree,disagree
a71,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/6.jpg,man,0.215,0.785,0.241758242,disagree,disagree,disagree,agree,neutral,disagree,agree,disagree
a141,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/5.jpg,man,0.297,0.703,0.15625,disagree,strongly disagree,strongly disagree,neutral,strongly agree,strongly disagree,neutral,strongly disagree
a167,male,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/60.jpg,woman,0.078,0.078,0.06779661,agree,disagree,disagree,neutral,agree,disagree,neutral,disagree
a23,male,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/95.jpg,woman,0.066,0.066,0.057142857,strongly disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,neutral,strongly agree
a83,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/14.jpg,woman,0.728,0.728,0.651162791,neutral,disagree,neutral,agree,agree,disagree,agree,disagree
a126,male,electrician,http://homes.cs.washington.edu/~mjskay/aws-images/google/electrician/95.jpg,woman,0.018,0.018,0.04,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
a179,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/5.jpg,woman,0.596,0.596,0.685714286,neutral,strongly disagree,disagree,strongly agree,strongly agree,strongly disagree,strongly agree,neutral
a71,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/8.jpg,man,0.225,0.775,0.166666667,neutral,disagree,disagree,agree,neutral,disagree,disagree,disagree
a19,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/4.jpg,woman,0.814,0.814,0.717948718,agree,disagree,agree,agree,agree,disagree,agree,disagree
