turker,turker_gender,search_term,image_url,image_gender,bls_p_women,bls_p_image_gender,search_p_women,attractive,provocative,sexy,professional,competent,inappropriate,trustworthy,weird
a40,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/56.jpg,man,0.862,0.138,0.779069767,disagree,strongly disagree,disagree,disagree,neutral,strongly disagree,neutral,agree
a59,female,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/3.jpg,man,0.04,0.96,0.068181818,disagree,disagree,disagree,neutral,neutral,disagree,neutral,disagree
a174,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/9.jpg,man,0.503,0.497,0.644444444,disagree,disagree,disagree,agree,disagree,agree,disagree,agree
a173,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/5.jpg,man,0.537,0.463,0.576923077,neutral,strongly disagree,disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a37,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,man,0.537,0.463,0.576923077,disagree,neutral,disagree,agree,agree,disagree,neutral,disagree
a37,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/3.jpg,woman,0.596,0.596,0.685714286,agree,disagree,agree,agree,agree,disagree,agree,disagree
a69,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/8.jpg,man,0.297,0.703,0.15625,disagree,strongly disagree,strongly disagree,disagree,disagree,strongly disagree,disagree,agree
a93,male,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/1.jpg,man,0.066,0.934,0.057142857,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a174,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/14.jpg,man,0.503,0.497,0.644444444,agree,disagree,disagree,agree,agree,strongly disagree,agree,strongly disagree
a173,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/9.jpg,man,0.126,0.874,0.138888889,neutral,strongly disagree,disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a142,male,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/89.jpg,woman,0.185,0.185,0.052631579,strongly agree,strongly disagree,strongly agree,agree,agree,strongly disagree,agree,strongly disagree
a22,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/12.jpg,woman,0.197,0.197,0.148148148,strongly agree,disagree,disagree,neutral,strongly agree,strongly disagree,agree,disagree
a176,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/8.jpg,woman,0.537,0.537,0.576923077,neutral,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree
a142,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/11.jpg,man,0.596,0.404,0.685714286,strongly disagree,agree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,strongly agree
a6,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/32.jpg,woman,0.297,0.297,0.15625,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,neutral,disagree
a7,female,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/56.jpg,woman,0.054,0.054,0.069444444,disagree,disagree,disagree,disagree,neutral,disagree,neutral,agree
a176,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/1.jpg,man,0.132,0.868,0.154929577,strongly disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,neutral,disagree
a61,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/68.jpg,woman,0.377,0.377,0.141025641,strongly agree,strongly agree,strongly agree,disagree,neutral,disagree,disagree,disagree
a98,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/36.jpg,woman,0.23,0.23,0.079365079,agree,strongly agree,agree,disagree,disagree,agree,disagree,disagree
a182,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/47.jpg,woman,0.377,0.377,0.141025641,agree,agree,disagree,agree,agree,strongly disagree,agree,neutral
