search_term,bls_n,bls_women,search_n,search_women,bls_p_women,search_p_women,Answer.typeofpeople,Answer.howmany,multiple_onegender,image_gender,image_url,source_url,order,search_provider
special ed teacher,366000,315492,86,67,0.862,0.779069767,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=MCUpXMnA6Kg5EM:&imgrefurl=http://specialedpost.com/2013/07/07/special-ed-aids-receive-pink-slips/&docid=ptNyyP35qIGAYM&imgurl=http://specialedpost.com/wp-content/uploads/2013/07/SpecialEd-Pasker.hr_.jpg&w=3432&h=2448&ei=lu_2UeT4N4mdiQKQ1ICICg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
telemarketer,97000,48791,90,58,0.503,0.644444444,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=7IrTFsxpkIlifM:&imgrefurl=http://whowhatwhy.com/2012/09/17/100-percent-of-charitable-donations-kept-by-telemarketer/&docid=UDoA3JPeDNbO7M&imgurl=http://whowhatwhy.com/wp-content/uploads/2012/09/telemarketer-pic-dec-2008.gif&w=300&h=251&ei=4xv3UY-ACKerigL3soGYBg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
truck driver,3201000,172854,72,5,0.054,0.069444444,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=dSR7-ANIH0gT3M:&imgrefurl=http://www.truckertotrucker.com/blog/old-dominion/&docid=daltfksDaZ47SM&imgurl=http://www.truckertotrucker.com/wp-content/uploads/2012/07/truck-driver.jpg&w=1818&h=1228&ei=ZCf3UfLKMsaQigLD-oHQCA&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
announcer,50000,11800,86,18,0.236,0.209302326,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/1.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Lt8PonAkl_zHpM:&imgrefurl=http://idopromoz.blogspot.com/2010/08/favorite-announcer.html&docid=w8tioWUtjR1IWM&imgurl=http://1.bp.blogspot.com/_o_ezM3z1L1w/TGC0YTPpMeI/AAAAAAAAAGc/VlvvkNYcgfo/s200/MrAnnouncer.jpg&w=1294&h=1600&ei=2PD2UZG8BOmciAKDl4GwBw&zoom=1&ved=1t:3588,r:1,s:0,i:93",1,google
author,208000,115648,65,16,0.556,0.246153846,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/1.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ehITGtRCyjt2cM:&imgrefurl=http://www.widgetbucks.com/the-best-wordpress-plugins-for-authors/&docid=V3fl0CEqOzKpvM&imgurl=http://www.widgetbucks.com/wp-content/uploads/2013/05/author.jpg&w=280&h=235&ei=KfP2UeztNM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:1,s:0,i:93",1,google
bartender,412000,246788,94,22,0.599,0.234042553,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/1.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=uLZT6pyUnjzo9M:&imgrefurl=http://matthew-thebartenderknows.blogspot.com/2011/08/how-to-become-bartender.html&docid=zeRA6jmGDyO6qM&imgurl=http://4.bp.blogspot.com/-d5cSocryaj4/TkARTd2XCcI/AAAAAAAAA2s/1OGYoWiPVmU/s320/bar1.jpg&w=458&h=305&ei=gv32UdrYJ8iWiALjt4DoCA&zoom=1&ved=1t:3588,r:1,s:0,i:93",1,google
building inspector,118000,9204,59,4,0.078,0.06779661,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/1.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=f9cRkKPW_iIysM:&imgrefurl=http://www.beverlyma.gov/departments/municipal-inspections-building-department&docid=x0KOCmF_wh7rKM&imgurl=http://www.beverlyma.gov/images/buildingframe.jpg&w=225&h=245&ei=aCP3UYqYFMixiwKk_YCgBw&zoom=1&ved=1t:3588,r:1,s:0,i:93",1,google
bus driver,558000,253890,48,9,0.455,0.1875,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/1.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=0ZyFvdf0uf47KM:&imgrefurl=http://septawatch.com/%3Ftag%3Dbus-driver-abuse&docid=E606vJFw5bhc2M&imgurl=http://septawatch.com/wp-content/uploads/2012/03/bus-driver.gif&w=750&h=678&ei=-ib3UZqRAcWfiALahYG4CA&zoom=1&ved=1t:3588,r:1,s:0,i:93",1,google
chef,403000,86645,91,22,0.215,0.241758242,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/1.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=hEvwyJuEeLSWsM:&imgrefurl=http://flavoryoucansavor.com/&docid=HRLfZCr6uIpRBM&imgurl=http://flavoryoucansavor.com/wp-content/uploads/2013/07/abb6.jpg&w=897&h=715&ei=wvz2UbaoNq3biwL-l4GoCg&zoom=1&ved=1t:3588,r:1,s:0,i:92",1,google
chemist,105000,46410,77,41,0.442,0.532467532,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/1.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=F6XV9994mt6G9M:&imgrefurl=http://www.onlinedegrees.org/calculator/salary/chemists&docid=8QmlZ2aGAegyAM&imgurl=http://www.onlinedegrees.org/pics/chemist-1.jpg&w=425&h=282&ei=g-v2UdnVFur6igKKjICYBg&zoom=1&ved=1t:3588,r:1,s:0,i:93",1,google
