occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
Secondary school teachers,1127000,57.3,6,3.1,7.6,FALSE,TRUE,FALSE,high school teacher,FALSE,FALSE
Special education teachers,366000,86.2,6.9,1.1,9.4,FALSE,TRUE,FALSE,special ed teacher,FALSE,FALSE
Other teachers and instructors,860000,65.6,10.7,5.9,9.5,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"Archivists, curators, and museum technicians",46000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Librarians,181000,86.8,7.9,2.5,2.8,FALSE,TRUE,FALSE,librarian,FALSE,FALSE
Library technicians,45000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Teacher assistants,898000,91.1,14.5,2.7,15.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Other education, training, and library workers",153000,67.3,11.7,2.5,11.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Artists and related workers,212000,51.6,4,9.3,6.6,FALSE,TRUE,TRUE,artist,FALSE,FALSE
Designers,756000,55.3,3.9,5.9,8.9,FALSE,TRUE,FALSE,designer,FALSE,FALSE
Actors,37000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Producers and directors,121000,40.8,8.2,3.3,4.9,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"Athletes, coaches, umpires, and related workers",267000,36.5,6.4,1.4,9,FALSE,TRUE,FALSE,NA,FALSE,FALSE
Dancers and choreographers,21000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Musicians, singers, and related workers",203000,35.5,10.9,2.8,6.7,FALSE,TRUE,TRUE,musician,FALSE,FALSE
"Entertainers and performers, sports and related workers, all other",41000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Announcers,50000,23.6,12,8.3,15.3,FALSE,TRUE,FALSE,announcer,FALSE,FALSE
"News analysts, reporters and correspondents",82000,45.7,9.2,6.1,5.9,FALSE,TRUE,FALSE,journalist?,TRUE,FALSE
Public relations specialists,155000,58.2,7.3,5.8,8,FALSE,TRUE,FALSE,PR person,FALSE,FALSE
Editors,159000,50.7,4.8,3.2,6.5,FALSE,TRUE,FALSE,editor,FALSE,FALSE
Technical writers,58000,55.5,2.7,6.7,3.7,FALSE,TRUE,FALSE,technical writer,FALSE,FALSE
Writers and authors,208000,55.6,5.4,4.2,2.9,FALSE,TRUE,FALSE,author,FALSE,FALSE
Miscellaneous media and communication workers,98000,79.2,5.6,15,35,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Broadcast and sound engineering technicians and radio operators,108000,8.4,4.1,1.6,12.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Photographers,178000,52.2,6.2,4.3,10.7,FALSE,TRUE,FALSE,photographer,FALSE,FALSE
"Television, video, and motion picture camera operators and editors",57000,21.4,4.4,5.6,10.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Media and communication equipment workers, all other",2000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Chiropractors,58000,22.3,0,3.5,4,FALSE,TRUE,FALSE,chiropractor,FALSE,FALSE
Dentists,167000,24.2,1.7,10.6,2.5,FALSE,TRUE,FALSE,dentist,FALSE,FALSE
Dietitians and nutritionists,116000,93.3,13.7,5.1,7.2,FALSE,TRUE,TRUE,dietician or nutritionist,FALSE,FALSE
Optometrists,33000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Pharmacists,286000,53.7,6.8,18.5,5.1,FALSE,TRUE,FALSE,pharmacist,FALSE,FALSE
Physicians and surgeons,911000,34.3,7.2,18.1,5.2,FALSE,TRUE,FALSE,doctor,FALSE,FALSE
Physician assistants,108000,69.4,8.2,9,8.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Podiatrists,9000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Audiologists,14000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Occupational therapists,118000,94,2.5,4,5.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Physical therapists,211000,70.7,4.4,9.1,9.4,FALSE,TRUE,FALSE,physical therapist,FALSE,FALSE
Radiation therapists,14000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Recreational therapists,13000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Respiratory therapists,111000,60.4,12.1,5.6,10.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Speech-language pathologists,146000,95.2,3.1,1.7,8.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Exercise physiologists,2000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Therapists, all other",148000,83.6,10.3,2.9,8.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
