occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
"Woodworkers, all other",21000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Power plant operators, distributors, and dispatchers",44000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Stationary engineers and boiler operators,121000,5.5,10.4,4.3,13.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Water and wastewater treatment plant and system operators,72000,4.5,8.4,1.7,19.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Miscellaneous plant and system operators,39000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Chemical processing machine setters, operators, and tenders",68000,16.2,4.5,0.8,10.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Crushing, grinding, polishing, mixing, and blending workers",100000,15,14.5,6.8,18.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Cutting workers,67000,19.2,14.1,3.5,15.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",45000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Furnace, kiln, oven, drier, and kettle operators and tenders",16000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Inspectors, testers, sorters, samplers, and weighers",689000,33.4,11.5,6.7,13.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Jewelers and precious stone and metal workers,46000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Medical, dental, and ophthalmic laboratory technicians",95000,50.7,1.6,8.9,15.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Packaging and filling machine operators and tenders,261000,52.3,14.1,8.8,38,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Painting workers,150000,15.1,5.7,4.3,34.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Photographic process workers and processing machine operators,55000,45.6,13.3,4.9,18.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Semiconductor processors,4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Adhesive bonding machine operators and tenders,9000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Cleaning, washing, and metal pickling equipment operators and tenders",7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Cooling and freezing equipment operators and tenders,2000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Etchers and engravers,6000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Molders, shapers, and casters, except metal and plastic",41000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Paper goods machine setters, operators, and tenders",35000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Tire builders,19000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Helpers--production workers,59000,34.8,19.8,2.9,30.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Production workers, all other",933000,26.3,13.7,4,21.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Supervisors of transportation and material moving workers,200000,23,13.5,4.4,18.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Aircraft pilots and flight engineers,129000,4.1,2.7,2.5,5,FALSE,TRUE,FALSE,pilot,FALSE,FALSE
Air traffic controllers and airfield operations specialists,44000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Flight attendants,88000,77.6,11.8,5.9,10.5,FALSE,TRUE,FALSE,flight attendant,FALSE,FALSE
"Ambulance drivers and attendants, except emergency medical technicians",20000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Bus drivers,558000,45.5,25.3,2.3,12.9,FALSE,TRUE,FALSE,bus driver,FALSE,FALSE
Driver/sales workers and truck drivers,3201000,5.4,14,1.6,19.3,FALSE,TRUE,FALSE,truck driver,FALSE,FALSE
Taxi drivers and chauffeurs,336000,13.2,24.8,13.8,16,FALSE,TRUE,FALSE,taxi driver,FALSE,FALSE
"Motor vehicle operators, all other",63000,13.3,14.4,1.4,10.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Locomotive engineers and operators,41000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Railroad brake, signal, and switch operators",10000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Railroad conductors and yardmasters,52000,5.6,16.2,0.7,12.5,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"Subway, streetcar, and other rail transportation workers",11000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Sailors and marine oilers,16000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Ship and boat captains and operators,37000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Ship engineers,7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Bridge and lock tenders,7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Parking lot attendants,81000,11.6,23.5,5.3,35.5,FALSE,TRUE,FALSE,parking attendant,FALSE,FALSE
Automotive and watercraft service attendants,94000,9.2,12.9,5.2,12.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Transportation inspectors,36000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Transportation attendants, except flight attendants",38000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Other transportation workers,17000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Conveyor operators and tenders,4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Crane and tower operators,62000,4,12.3,0.9,12.2,FALSE,TRUE,FALSE,crane operator,FALSE,FALSE
"Dredge, excavating, and loading machine operators",42000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Hoist and winch operators,5000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Industrial truck and tractor operators,537000,7.4,18.4,1.6,31.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Cleaners of vehicles and equipment,315000,15.2,16.8,2.7,35.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Laborers and freight, stock, and material movers, hand",1849000,18.7,15.9,2.5,23,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Machine feeders and offbearers,27000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Packers and packagers, hand",431000,53.1,14,3.5,42,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Pumping station operators,25000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Refuse and recyclable material collectors,106000,6.6,24.9,1.4,29.4,FALSE,TRUE,FALSE,garbage collector,FALSE,FALSE
Mine shuttle car operators,1000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Tank car, truck, and ship loaders",4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Material moving workers, all other",45000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
